ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20141026;LC08;2014;10;26;26/10/2014;298;7;6;3,866646439;0,552378063;0,685203552;0,303304762;0,596108675;0,381898791;0,017673644;0,132942259;;;;0,459537566;;0,303304762;0,549833119;0,596108675;;0,66572237;0,606936395;0,685203552;
LC08_199034_20141213;LC08;2014;12;13;13/12/2014;346;11;2;6,800130129;0,618193648;0,788208365;0,436619729;0,656326234;0,351588637;0,015251707;0,1234978;0,730876625;0,788208365;0,57208091;0,610698342;0,460055083;0,436619729;0,451541841;0,704015315;0,656326234;0,729561925;;;0,66014576
LC08_199034_20141229;LC08;2014;12;29;29/12/2014;362;7;6;4,184510857;0,597787265;0,841669202;0,370072067;0,606763303;0,471597135;0,030508664;0,174667295;0,841669202;0,800972462;;0,606763303;0,610894918;0,499842107;0,370072067;;;;;;0,454296798
LC08_199034_20150130;LC08;2015;1;30;30/01/2015;29;6;7;3,879837453;0,646639576;0,766637862;0,536682069;0,657514691;0,229955792;0,008644222;0,092974307;0,612459004;0,536682069;;;;;;0,702570379;;0,707974136;0,766637862;;0,553514004
LC08_199034_20150215;LC08;2015;2;15;15/02/2015;45;2;11;0,865802407;0,432901204;0,504316926;0,361485481;0,432901204;0,142831445;0,010200411;0,100997083;;;;0,504316926;;0,361485481;;;;;;;
LC08_199034_20150404;LC08;2015;4;4;04/04/2015;93;5;8;2,541724682;0,508344936;0,576627016;0,44167915;0,49186483;0,134947866;0,003405387;0,058355691;;;0,470319629;0,49186483;;0,44167915;;0,576627016;;0,561234057;;;
LC08_199034_20150420;LC08;2015;4;20;20/04/2015;109;13;0;7,569004178;0,582231091;0,793621778;0,414434522;0,604385972;0,379187256;0,013886257;0,117839964;0,696969688;0,793621778;0,414434522;0,442150384;0,577364445;0,429894984;0,481189847;0,617681265;0,620598257;0,671187818;0,604385972;0,696127117;0,523398101
LC08_199034_20150506;LC08;2015;5;6;06/05/2015;125;13;0;7,004267097;0,538789777;0,686681688;0,389932901;0,559398472;0,296748787;0,009816702;0,099079269;0,59644562;0,622226357;0,389932901;0,411634743;0,543173432;0,393364936;0,476401776;0,607604027;0,569036126;0,656874239;0,559398472;0,686681688;0,491492778
LC08_199034_20150522;LC08;2015;5;22;22/05/2015;141;3;10;1,83743614;0,612478713;0,696728408;0,551178575;0,589529157;0,145549834;0,0056912;0,075440043;0,589529157;0,696728408;;;0,551178575;;;;;;;;
LC08_199034_20150607;LC08;2015;6;7;07/06/2015;157;13;0;6,82483241;0,524987108;0,658703089;0,320778012;0,513728321;0,337925076;0,011520194;0,107332166;0,582356691;0,63410598;0,454314709;0,358369112;0,509705722;0,320778012;0,473928154;0,584840059;0,592284679;0,658703089;0,513728321;0,658664346;0,483053535
