ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;15091;10322;10494;12266;10400;8542;6216;6272;5877;10444;10409;11525;11425;11385;12818;11365;11454;14554;12626;11405
LC08_199034_20150607;LC08;2015;6;7;07/06/2015;157;20;0;10,5418148;0,52709074;0,72629261;0,335915506;0,543540955;0,390377104;0,012877533;0,113479216;0,613168716;0,566401839;0,460766077;0,335915506;0,461565465;0,72629261;0,501794279;0,561092138;0,589529574;0,516477883;0,409861922;0,525989771;0,562138259;0,638273597;0,583366632;0,686886489;0,417353749;0,667907238;0,347386181;0,369646877
LC08_199034_20150623;LC08;2015;6;23;23/06/2015;173;17;3;8,571613877;0,504212581;0,689363837;0,328806281;0,541270256;0,360557556;0,012308481;0,110943592;;0,557220697;;0,328806281;0,450602412;0,573065341;0,485254705;;0,594496727;0,503810763;0,392374903;0,541270256;0,551128805;0,620282471;0,567871511;0,689363837;0,408037096;0,629463017;0,340686262;0,337878793
LC08_199034_20150709;LC08;2015;7;9;09/07/2015;189;19;1;8,947203576;0,470905451;0,645405889;0,287410915;0,473377496;0,357994974;0,011238166;0,106010215;;0,543004811;0,462267458;0,287410915;0,424326181;0,645405889;0,431475222;0,516655326;0,591928244;0,408608168;0,378588051;0,473377496;0,503206193;0,599608898;0,522041738;0,626463115;0,372170687;0,515134394;0,324024647;0,321506143
LC08_199034_20150725;LC08;2015;7;25;25/07/2015;205;20;0;10,73311678;0,536655839;0,705081165;0,371472746;0,557997138;0,333608419;0,012036844;0,109712553;0,695092499;0,603448272;0,521495342;0,371472746;0,465945959;0,610442698;0,58903265;0,558091283;0,614285707;0,578165174;0,390424281;0,447530866;0,539112031;0,705081165;0,557902992;0,61625284;0,420231909;0,688875675;0,378909737;0,38132295
LC08_199034_20150810;LC08;2015;8;10;10/08/2015;221;5;15;2,516855806;0,503371161;0,575684786;0,412698418;0,512362957;0,162986368;0,004706072;0,068600813;;;;;;0,512362957;;;;;;0,412698418;;0,559283495;0,45682615;0,575684786;;;;
LC08_199034_20150826;LC08;2015;8;26;26/08/2015;237;20;0;10,66809541;0,53340477;0,683064878;0,393883228;0,557847798;0,28918165;0,008054699;0,089747972;0,683064878;0,626083016;0,528143704;0,396866828;0,47772181;0,52084285;0,574698031;0,514813542;0,627618313;0,564427137;0,402812243;0,561774015;0,55392158;0,602068782;0,563880146;0,640613198;0,409152687;0,605231881;0,393883228;0,420477539
LC08_199034_20150911;LC08;2015;9;11;11/09/2015;253;1;19;0,436797738;0,436797738;0,436797738;0,436797738;0,436797738;0;;;;0,436797738;;;;;;;;;;;;;;;;;;
LC08_199034_20150927;LC08;2015;9;27;27/09/2015;269;13;7;7,25065562;0,55774274;0,693898678;0,390889376;0,575803995;0,303009302;0,009988295;0,099941458;0,693898678;0,658634543;;0,398648649;0,52014488;;;;;0,493534476;0,456730783;0,588159561;0,575803995;0,668059051;0,623975873;0,624401152;0,557774603;;;0,390889376
LC08_199034_20151013;LC08;2015;10;13;13/10/2015;285;12;8;7,247964947;0,603997079;0,740610301;0,49661985;0,610795289;0,243990451;0,00728074;0,085327251;;0,740610301;0,613986015;0,50621891;;;;0,607604563;0,690009356;;0,49661985;;;;0,676684856;0,675392687;0,587155938;0,647133768;0,505304277;0,501244426
LC08_199034_20151029;LC08;2015;10;29;29/10/2015;301;20;0;12,26263419;0,613131709;0,765243888;0,474468082;0,623855144;0,290775806;0,006043167;0,077737812;0,765243888;0,74660635;0,627416492;0,514157951;0,635352969;0,573508441;0,616957605;0,636290967;0,68471849;0,617898464;0,516567111;0,503649652;0,636509836;0,7007792;0,621284783;0,64104563;0,584905684;0,626425505;0,538847089;0,474468082
